source_node_id,target_node_id
1,2
2,2285
2285,59615
2285,59616
2285,59617
2285,59618
2285,59619
2285,59620
2285,59621
2285,59622
2285,59623
2285,59624
2,2286
2286,59625
2286,59626
2286,59627
2286,59628
2286,59629
2286,59630
2,2287
2287,59633
2287,59634
2,2288
2288,59635
2288,59636
2288,59637
2288,59638
2288,59639
2288,59640
2,2289
2289,59641
2289,59642
2289,59643
2289,59644
2289,59645
2289,59646
2289,59647
2289,59648
2,2290
2290,2308
2308,2309
2308,2310
2308,2311
2308,2312
2308,2313
2308,2314
2308,2315
2308,2316
2308,2317
2308,2318
2308,2319
2308,2320
2308,2321
2308,2322
2290,2323
2323,2324
2323,2325
2323,2326
2323,2327
2323,2328
2323,2329
2323,2330
2290,2331
2331,2332
2331,2333
2331,2334
2331,2335
2331,2336
2331,2337
2331,2338
2331,2339
2331,2340
2331,2341
2331,2342
2331,2343
2331,2344
2331,2345
2331,2346
2331,2347
2331,2348
2331,59680
2290,2349
2349,2351
2349,2352
2349,2353
2349,2354
2349,2355
2349,2356
2349,2357
2349,2358
2349,2359
2349,2361
2349,2362
2349,2363
2290,2364
2364,2365
2364,2366
2364,2367
2364,2368
2364,2369
2364,2370
2,2291
2291,59687
59687,59688
59688,59689
59689,59690
59689,59691
59689,59692
59689,59693
59689,59694
59689,59695
59689,59696
59689,59697
59689,59698
59689,59699
59689,59700
59689,59701
59689,59702
59689,59703
59689,59704
59689,59705
59689,59706
59689,59707
59689,59708
59689,59710
59689,59711
59689,59712
59689,59713
59688,59714
59714,59715
59714,59716
59714,59717
59714,59718
59714,59719
59714,59720
59714,59721
59714,59722
59714,59723
59714,59724
59714,59725
59714,59726
59714,59727
59714,59728
59714,59729
59688,59730
59730,59731
59730,59732
59730,59733
59730,59734
59730,59735
59730,59736
59730,59737
59730,59738
59730,59739
59730,59740
59730,59741
59730,59742
59688,59743
59743,59744
59743,59745
59743,59746
59743,59747
59743,59748
59688,59751
59751,59752
59751,59753
59751,59754
59751,59755
59751,59756
59751,59757
59751,59758
59751,59759
59751,59760
59751,59761
59688,59762
59762,59763
59762,59764
59762,59765
59762,59766
59688,59767
59767,59768
59767,59769
59767,59770
59767,59771
59767,59772
59767,59773
59767,59774
59767,59775
59767,59776
59767,59777
59767,59778
59767,59779
59767,59780
59767,59781
59767,59782
59767,59783
59767,59784
59767,59785
59767,59786
59767,59787
59767,59788
59767,59789
59767,59790
59767,59791
59767,59792
59767,59793
59688,59794
59794,59795
59794,59796
59794,59797
59794,59798
59794,59799
59794,59800
59794,59801
59794,59802
59794,59803
59794,59804
59794,59805
59794,59806
59794,59807
59794,59808
59794,59809
59687,59749
59749,59810
59749,59811
59749,59812
59749,59813
59749,59814
59749,59815
59749,59816
59749,59817
59749,59818
59749,59819
59749,59820
59749,59821
59749,59822
59749,59823
59687,59824
59824,59825
59824,59826
59824,59827
59824,59828
59824,59829
59824,59830
59824,59831
59824,59832
59824,59833
59824,59834
59824,59835
2291,59750
59750,59837
59750,59838
59750,59839
59750,59840
59750,59841
59750,59842
